aaa,9929087,7712,39,79
aab,9753500,8380,47,108
aac,9900355,9272,481,896
aad,9871729,10930,78,143
aae,9711663,9284,63,110
aaf,9688344,8871,41,84
aag,9998817,8742,9,21
aba,9799141,11407,13,73
abb,9931441,7977,124,159
abc,9998789,7820,106,200
abd,9731680,10152,45,95
abe,9962755,9830,116,202
abf,9964369,10955,62,162
abg,9886206,7547,48,92
aca,9999070,7146,33,96
acb,9923504,7591,6,20
acc,9980012,9581,74,119
acd,9689694,8567,65,130
ace,9918075,8132,26,78
acf,9969871,9578,6,12
acg,9997186,8791,77,299
ada,9356634,9793,23,64
adb,9670840,7444,194,376
adc,9943786,8337,147,228
add,9824697,7746,23,61
ade,9808407,9794,107,265
adf,9826423,10205,15,28
adg,9864560,8116,105,173
aea,9971323,10211,361,583
aeb,9874078,9742,57,91
aec,9897019,8918,570,988
aed,9670601,9211,5,5
aee,9947629,9556,591,1136
aef,9804539,10135,75,241
aeg,9888134,9472,88,233
afa,9504608,9616,121,330
afb,9909629,8641,51,106
afc,9970919,8013,11,24
afd,9911819,9527,162,234
afe,9956106,9523,8,37
aff,9596523,9542,188,344
afg,9777915,9235,29,178
aga,9882911,9562,51,87
agb,9859417,8218,198,503
agc,9828592,7352,5,5
agd,9690876,9225,164,318
age,9885476,9109,24,42
agf,9775393,9716,99,189
agg,9959659,7399,247,396
baa,9667961,8041,13,40
bab,9959056,9573,117,257
bac,9509718,8416,70,132
bad,9896427,9570,103,267
bae,9623707,7778,153,235
baf,9942611,8275,107,151
bag,9962398,8181,41,126
bba,9840484,10194,57,129
bbb,9951333,9724,182,343
bbc,9536179,7660,71,150
bbd,9862072,7992,24,67
bbe,9650244,8436,9,23
bbf,9728963,7697,35,60
bbg,9944026,10251,244,371
bca,9748371,9921,865,1526
bcb,9923894,10162,117,214
bcc,9938795,7203,75,171
bcd,9998180,9237,128,219
bce,9725973,11701,212,375
bcf,9965637,8994,71,141
bcg,9939062,8229,10,24
bda,9775727,10412,60,183
bdb,9839829,9249,282,473
bdc,9910472,10086,8,27
bdd,9966034,9981,102,263
bde,9974765,8445,64,110
bdf,9842040,8332,33,80
bdg,9787511,8382,122,323
bea,9908910,8698,18,85
beb,9982714,8091,78,177
bec,9776933,10604,480,918
bed,9912830,8502,103,166
bee,9884797,7464,26,43
bef,9757795,8596,90,265
beg,9844565,10202,179,274
bfa,9945311,7162,233,379
bfb,9952052,9781,30,51
bfc,9866507,8047,92,175
bfd,9850170,9957,55,84
bfe,9947029,7371,181,310
bff,9921139,8712,140,269
bfg,9625483,9421,308,506
bga,9936861,8050,6,27
bgb,9819687,7885,75,170
bgc,9826154,6968,19,76
bgd,9830506,8882,16,62
bge,9604358,7326,158,225
bgf,9995744,8843,40,173
bgg,9825491,9441,30,103
caa,9844656,9189,46,134
cab,9724280,9340,396,718
cac,9831148,7615,107,203
cad,9987186,10131,191,344
cae,9871453,8422,225,354
caf,9952508,9785,214,484
cag,9827521,7834,251,414
cba,9820507,7784,157,273
cbb,9992612,8939,194,362
cbc,9743346,9588,218,381
cbd,9860838,8821,56,127
cbe,9794893,9278,153,372
cbf,9907292,9601,237,375
cbg,9965752,8348,24,53
cca,9772897,8744,54,110
ccb,9810876,9189,59,129
ccc,9763475,8814,192,358
ccd,9876945,8214,92,159
cce,9988079,9688,119,260
ccf,9861112,9413,234,304
ccg,9822985,9081,95,228
cda,9733506,10518,43,74
cdb,9775064,10171,277,456
cdc,9932503,8938,96,200
cdd,9910337,9643,87,151
cde,9997033,10627,136,257
cdf,9862831,10621,92,267
cdg,9853120,10297,278,454
cea,9932842,8996,482,932
ceb,9926728,9948,87,226
cec,9944549,8588,144,274
ced,9997995,9461,44,114
cee,9820124,9588,176,296
cef,9791265,8250,102,151
ceg,9771598,8329,5,7
cfa,9921876,10713,284,552
cfb,9808528,9716,19,64
cfc,9708227,10699,211,316
cfd,9870579,7548,131,261
cfe,9926716,9795,181,300
cff,9895366,10132,203,400
cfg,9937098,9177,51,99
cga,9798854,11106,116,230
cgb,9893759,9000,381,609
cgc,9736481,8849,13,37
cgd,9942064,8047,463,781
cge,9876312,8831,9,33
cgf,9910717,7353,158,342
cgg,9912023,7686,56,80
daa,9656142,10400,6,16
dab,9921041,9460,201,339
dac,9656521,9070,27,58
dad,9766280,8729,108,339
dae,9924235,8787,10,37
daf,9918910,6739,6,19
dag,9940164,9285,189,316
dba,9822644,8366,90,242
dbb,9639690,9117,32,72
dbc,9919331,9135,25,83
dbd,9929596,8630,57,117
dbe,9906966,8986,106,199
dbf,9990909,8760,156,379
dbg,9840197,9218,72,121
dca,9900664,9678,123,251
dcb,9992286,8589,99,192
dcc,9849602,9214,120,176
dcd,9568574,9481,80,163
dce,9949033,8321,130,257
dcf,9957722,7556,143,241
dcg,9909222,8884,8,41
dda,9781656,8727,70,166
ddb,9982543,10108,393,562
ddc,9788380,8467,16,37
ddd,9854520,9686,74,163
dde,9885410,7630,12,22
ddf,9783321,9422,110,318
ddg,9916218,8427,70,140
dea,9995498,8189,53,80
deb,9825494,9038,80,122
dec,9895177,9560,156,288
ded,9927137,8050,189,309
dee,9986585,8927,7,28
def,9910639,9915,53,130
deg,9351425,9005,18,53
